graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
10,tudataset:NCI1,63,69,63,69,0.6842105263157895,0.7647058823529412,0.5531914893617021,0.896551724137931,29,29,0.0,True,0.048127721063792706,0.048974697943776846,0.058229096699506044,1.188962855194192,0.0,0.0,0
11,erdos,13,23,12,21,0.8421052631578947,1.0,0.7272727272727273,1.0,9,8,0.125,True,0.014315232168883085,0.03329012403264642,0.046646458096802235,1.4012101021629642,0.07692307692307693,0.08695652173913049,2
12,erdos,25,54,22,48,0.9629629629629629,0.9807692307692307,0.9285714285714286,1.0,15,13,0.15384615384615385,True,0.03007768699899316,0.03831627685576677,0.017348818015307188,0.4527793261493806,0.12,0.11111111111111116,4
13,tudataset:NCI1,25,27,20,22,0.6666666666666666,0.7371794871794872,0.6,0.75,14,12,0.16666666666666666,True,0.025746009778231382,0.0345856249332428,0.046171534806489944,1.3349920637724568,0.2,0.18518518518518523,5
14,tudataset:PROTEINS,43,96,41,92,0.8275862068965517,0.8078703703703703,0.7741935483870968,0.8888888888888888,28,27,0.037037037037037035,True,0.060867260210216045,0.02298460714519024,0.041623285971581936,1.8109200522181659,0.046511627906976744,0.04166666666666663,4
15,tudataset:PROTEINS,19,36,19,36,0.8571428571428571,0.875,0.75,1.0,12,12,0.0,True,0.01672958303242922,0.019600287079811096,0.014177141711115837,0.7233129623758793,0.0,0.0,0
16,erdos,6,5,2,0,1.0,1.0,1.0,1.0,2,2,0.0,True,0.007605564780533314,0.0001752707175910473,0.05436176527291536,310.1588560831688,0.6666666666666666,1.0,2
17,erdos,24,25,24,25,0.7333333333333333,0.8263888888888888,0.6111111111111112,0.9166666666666666,12,12,0.0,True,0.02116041025146842,0.03269285894930363,0.034093230962753296,1.0428341863775574,0.0,0.0,0
18,tudataset:NCI1,28,30,24,26,0.625,0.6153846153846154,0.5263157894736842,0.7692307692307693,13,13,0.0,True,0.02583269076421857,0.034436043817549944,0.021421092562377453,0.6220543996247453,0.14285714285714285,0.1333333333333333,2
19,tudataset:NCI1,23,27,22,26,0.6666666666666666,0.3712121212121212,0.5238095238095238,0.9166666666666666,12,12,0.0,True,0.017011644784361124,0.05666381400078535,0.029419532045722008,0.5191943494187359,0.043478260869565216,0.03703703703703709,1
20,tudataset:PROTEINS,32,57,32,57,0.84,0.6645021645021645,0.7241379310344828,1.0,21,21,0.0,True,0.04137099301442504,0.09254393121227622,0.05870342208072543,0.6343303262757682,0.0,0.0,0
21,tudataset:PROTEINS,72,117,65,108,0.7764705882352941,0.8277992277992279,0.6875,0.8918918918918919,37,37,0.0,True,0.09352125925943255,0.03707783715799451,0.03100886521860957,0.8363180701850518,0.09722222222222222,0.07692307692307687,7
22,tudataset:NCI1,25,27,21,23,0.6363636363636364,0.8181818181818182,0.6363636363636364,0.6363636363636364,13,11,0.18181818181818182,True,0.023048407398164272,0.07383293099701405,0.05945703713223338,0.8052915728706198,0.16,0.14814814814814814,3
23,tudataset:PROTEINS,136,256,135,254,0.8064516129032258,0.8459167950693374,0.6880733944954128,0.974025974025974,77,77,0.0,True,0.13118138071149588,0.08570474199950695,0.08517505787312984,0.9938196637196557,0.007352941176470588,0.0078125,2
24,tudataset:NCI1,13,13,12,12,0.6666666666666666,0.6428571428571429,0.5555555555555556,0.8333333333333334,7,6,0.16666666666666666,True,0.01359911635518074,0.0477768681012094,0.04344883095473051,0.9094114512213216,0.07692307692307693,0.07692307692307687,1
25,erdos,22,24,21,23,0.6086956521739131,0.5867768595041323,0.5833333333333334,0.6363636363636364,11,11,0.0,True,0.02508439403027296,0.028285931795835495,0.019157734233886003,0.6772884263514548,0.045454545454545456,0.04166666666666663,1
26,tudataset:PROTEINS,36,71,36,71,0.8235294117647058,0.8603896103896104,0.7241379310344828,0.9545454545454546,22,22,0.0,True,0.03330579400062561,0.06427707988768816,0.028612114023417234,0.44513711689161056,0.0,0.0,0
