graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
27,tudataset:NCI1,20,21,19,20,0.6666666666666666,0.7676767676767677,0.5833333333333334,0.7777777777777778,10,9,0.1111111111111111,True,0.08346894010901451,0.07357496162876487,0.09416311513632536,1.2798255418934714,0.05,0.04761904761904767,1
28,tudataset:NCI1,34,36,32,34,0.6666666666666666,0.6840277777777778,0.5384615384615384,0.875,16,16,0.0,True,0.32214687019586563,0.2577407821081579,0.3291143383830786,1.2769199181096984,0.058823529411764705,0.05555555555555558,1
29,tudataset:NCI1,16,16,14,14,0.7368421052631579,0.8253968253968254,0.5833333333333334,1.0,7,7,0.0,True,0.017796902917325497,0.23678189516067505,0.24959303485229611,1.0541052333537904,0.125,0.125,2
30,tudataset:NCI1,24,28,24,28,0.7857142857142857,1.0,0.6470588235294118,1.0,11,11,0.0,True,0.0619296501390636,0.3062522881664336,0.26879306929185987,0.8776850971503063,0.0,0.0,0
31,tudataset:NCI1,17,18,15,16,0.7,0.8333333333333334,0.5833333333333334,0.875,8,8,0.0,True,0.012434476055204868,0.38616606406867504,0.12338989786803722,0.31952548229637756,0.11764705882352941,0.11111111111111116,1
32,tudataset:NCI1,28,29,23,24,0.6875,0.734375,0.55,0.9166666666666666,13,12,0.08333333333333333,True,0.017982935067266226,0.058654057793319225,0.021921191830188036,0.3737370039670962,0.17857142857142858,0.1724137931034483,2
33,tudataset:NCI1,20,23,20,23,0.7692307692307693,0.87,0.625,1.0,10,10,0.0,True,0.014357380103319883,0.11397972097620368,0.6564316730946302,5.759197052532511,0.0,0.0,0
34,tudataset:NCI1,22,24,22,24,0.6153846153846154,0.8,0.5,0.8,10,10,0.0,True,0.026438554283231497,0.21276511996984482,0.33065270772203803,1.554073843348484,0.0,0.0,0
35,tudataset:NCI1,37,41,34,37,0.6808510638297872,0.8117647058823529,0.5333333333333333,0.9411764705882353,19,17,0.11764705882352941,True,0.31366806058213115,0.32688790326938033,0.21905733179301023,0.6701298200456517,0.08108108108108109,0.09756097560975607,2
36,tudataset:NCI1,26,29,25,28,0.7272727272727273,0.8154761904761905,0.5714285714285714,1.0,12,12,0.0,True,0.0688721090555191,0.2776479902677238,0.2990694190375507,1.0771531922459483,0.038461538461538464,0.03448275862068961,1
37,tudataset:NCI1,27,29,26,28,0.8461538461538461,0.9318181818181819,0.7333333333333333,1.0,11,11,0.0,True,0.024805151857435703,0.04805100429803133,0.05279920715838671,1.0988158921904139,0.037037037037037035,0.03448275862068961,1
38,tudataset:NCI1,32,34,31,33,0.6976744186046512,0.819607843137255,0.5357142857142857,1.0,16,15,0.06666666666666667,True,0.02534308610484004,0.44338319171220064,0.41485192300751805,0.9356509916523805,0.03125,0.02941176470588236,1
39,tudataset:NCI1,29,25,24,21,0.7096774193548387,0.7475961538461539,0.6111111111111112,0.8461538461538461,13,13,0.0,True,0.0255601080134511,0.24768936168402433,0.4468160760588944,1.803937290729889,0.1724137931034483,0.16000000000000003,2
40,tudataset:NCI1,64,68,64,68,0.625,0.746031746031746,0.5555555555555556,0.7142857142857143,28,28,0.0,True,0.1378059978596866,0.6788868978619576,0.30192933790385723,0.44474173659078403,0.0,0.0,0
41,tudataset:NCI1,23,26,23,26,0.6666666666666666,0.5303030303030303,0.5555555555555556,0.8333333333333334,12,12,0.0,True,0.021018786821514368,0.56786221684888,0.3091431688517332,0.5443982002662499,0.0,0.0,0
42,tudataset:NCI1,20,21,15,16,0.875,0.9696969696969696,1.0,0.7777777777777778,10,9,0.1111111111111111,True,0.014342680107802153,0.05671417387202382,0.25101906387135386,4.426037562281719,0.25,0.23809523809523814,5
43,tudataset:NCI1,26,29,26,29,0.631578947368421,0.757396449704142,0.48,0.9230769230769231,13,13,0.0,True,0.05304403882473707,0.13941761013120413,0.06881717778742313,0.4936046294486053,0.0,0.0,0
44,tudataset:NCI1,32,34,25,26,0.6111111111111112,0.580392156862745,0.5238095238095238,0.7333333333333333,15,15,0.0,True,0.026859067380428314,0.17261162120848894,0.19353163475170732,1.1211970167289613,0.21875,0.23529411764705888,5
45,tudataset:NCI1,21,23,20,22,0.6956521739130435,0.8796296296296297,0.5714285714285714,0.8888888888888888,9,9,0.0,True,0.01894857082515955,0.19142182124778628,0.14615227608010173,0.7635089621831289,0.047619047619047616,0.04347826086956519,1
46,tudataset:NCI1,27,29,23,25,0.7586206896551724,0.7777777777777778,0.6470588235294118,0.9166666666666666,12,12,0.0,True,0.05804699333384633,0.19617384299635887,0.3707599272020161,1.8899559775096912,0.14814814814814814,0.13793103448275867,2
47,tudataset:NCI1,45,52,45,52,0.7096774193548387,0.7974308300395258,0.55,1.0,22,22,0.0,True,0.3350533591583371,0.1726552303880453,0.09979915386065841,0.578025662103362,0.0,0.0,0
48,tudataset:NCI1,16,17,15,16,0.7619047619047619,0.953125,0.6153846153846154,1.0,9,8,0.125,True,0.017546952236443758,0.27775896107777953,0.14387605991214514,0.5179889043142561,0.0625,0.05882352941176472,1
49,tudataset:NCI1,31,34,29,32,0.7567567567567568,0.8151260504201681,0.6086956521739131,1.0,14,14,0.0,True,0.027880252804607153,0.32597568491473794,0.18242756696417928,0.5596355047521258,0.06451612903225806,0.05882352941176472,2
