run,feature_id,feature_name,feature_type,importance
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f34,gdv_orbit_21,GDV,4.9852
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f93,rw_max_neighbor_degree,RW,4.878
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f101,rw_eccentricity,RW,4.7177
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f29,gdv_orbit_16,GDV,4.7146
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f98,rw_eigenvector_centrality,RW,4.6697
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f99,rw_pagerank,RW,4.6477
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f30,gdv_orbit_17,GDV,4.5836
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f33,gdv_orbit_20,GDV,4.3838
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f37,gdv_orbit_24,GDV,4.1997
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f21,gdv_orbit_8,GDV,4.0226
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f90,rw_stationary_prob,RW,3.9936
erdos_tudataset-MUTAG,f86,rw_degree,RW,43.354
erdos_tudataset-MUTAG,f103,rw_hitting_time_proxy,RW,26.4427
erdos_tudataset-MUTAG,f94,rw_min_neighbor_degree,RW,13.137
erdos_tudataset-MUTAG,f102,rw_avg_dist_2hop_nbrs,RW,12.3264
erdos_tudataset-MUTAG,f14,gdv_orbit_1,GDV,11.906
erdos_tudataset-MUTAG,f88,rw_return_prob_t2,RW,8.5087
erdos_tudataset-MUTAG,f13,gdv_orbit_0,GDV,7.8209
erdos_tudataset-MUTAG,f105,rw_triangle_count,RW,6.274
erdos_tudataset-MUTAG,f100,rw_core_number,RW,6.0027
erdos_tudataset-MUTAG,f1,vsko_sym3,VSKO,5.8146
erdos_tudataset-MUTAG,f0,vsko_sym2_1,VSKO,4.7852
erdos_tudataset-MUTAG,f16,gdv_orbit_3,GDV,4.785
erdos_tudataset-MUTAG,f92,rw_avg_neighbor_degree,RW,4.0283
erdos_tudataset-MUTAG,f91,rw_local_clustering,RW,3.7822
erdos_tudataset-MUTAG,f89,rw_return_prob_t4,RW,3.7371
erdos_tudataset-MUTAG,f97,rw_betweenness_centrality,RW,3.4924
erdos_tudataset-MUTAG,f101,rw_eccentricity,RW,3.1896
erdos_tudataset-MUTAG,f30,gdv_orbit_17,GDV,2.9885
erdos_tudataset-MUTAG,f96,rw_closeness_centrality,RW,2.9664
erdos_tudataset-MUTAG,f104,rw_commute_time_proxy,RW,2.8639
erdos_tudataset-MUTAG,f34,gdv_orbit_21,GDV,2.7471
erdos_tudataset-MUTAG,f22,gdv_orbit_9,GDV,2.7336
erdos_tudataset-MUTAG,f93,rw_max_neighbor_degree,RW,2.7079
erdos_tudataset-MUTAG,f87,rw_degree_normalized,RW,2.702
erdos_tudataset-MUTAG,f29,gdv_orbit_16,GDV,2.6944
erdos_tudataset-MUTAG,f21,gdv_orbit_8,GDV,2.6617
erdos_tudataset-MUTAG,f99,rw_pagerank,RW,2.6453
erdos_tudataset-MUTAG,f98,rw_eigenvector_centrality,RW,2.611
erdos_tudataset-MUTAG,f35,gdv_orbit_22,GDV,2.5111
erdos_tudataset-MUTAG,f95,rw_degree_centrality,RW,2.4824
erdos_tudataset-MUTAG,f33,gdv_orbit_20,GDV,2.4415
erdos_tudataset-MUTAG,f37,gdv_orbit_24,GDV,2.2353
erdos_tudataset-MUTAG,f90,rw_stationary_prob,RW,2.2337
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f86,rw_degree,RW,81.5525
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f14,gdv_orbit_1,GDV,29.7275
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f94,rw_min_neighbor_degree,RW,18.5194
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f16,gdv_orbit_3,GDV,17.6482
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f13,gdv_orbit_0,GDV,16.7385
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f105,rw_triangle_count,RW,14.71
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f88,rw_return_prob_t2,RW,14.324
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f1,vsko_sym3,VSKO,12.3411
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f100,rw_core_number,RW,11.905
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f89,rw_return_prob_t4,RW,10.1891
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f0,vsko_sym2_1,VSKO,8.4111
